Channel_ID,Video_Category_Name,score_pct
UC35S-hspH4Nc1YkKaMkGf_g,People & Blogs,1.0
UC365X-mldX-QPsxmIwyq2_Q,Education,0.13690893729346984
UC365X-mldX-QPsxmIwyq2_Q,Entertainment,0.021725095300986697
UC365X-mldX-QPsxmIwyq2_Q,Howto & Style,0.5094344849278787
UC365X-mldX-QPsxmIwyq2_Q,People & Blogs,0.32709751529373077
UC365X-mldX-QPsxmIwyq2_Q,Travel & Events,0.004833967183934032
UC37vNZg-2CZ4YP9vIl55oag,Travel & Events,1.0
UC3ASl1pObIH3A-qT6iITe1g,Comedy,0.015570662664766345
UC3ASl1pObIH3A-qT6iITe1g,Entertainment,0.3172984270093439
UC3ASl1pObIH3A-qT6iITe1g,Music,0.1347426292369007
UC3ASl1pObIH3A-qT6iITe1g,People & Blogs,0.5323882810889891
UC3E1iQqoqXBeDm3LdJ3iOaQ,People & Blogs,1.0
UC3Iv4GilW4oPl_E1DPMMWnw,People & Blogs,1.0
UC3KX8zbDMxlKj2KMppU0fJw,Entertainment,0.7511136277967971
UC3KX8zbDMxlKj2KMppU0fJw,Music,0.24888637220320284
UC3Kb7E4YLtpi-xfAO1GOD3A,Entertainment,1.0
UC3e3MWDBEP2jxXO0BRAC6FA,People & Blogs,1.0
UC3t8NHsv6GELrIwOaINqW8Q,Entertainment,1.0
UC4B9WdU2U6E6GQoDBKcVeSQ,Howto & Style,1.0
UC4BFta04-H7yVIa3045chXA,People & Blogs,1.0
UC4ij0nxIZZ9IIhn52BlE4Vw,Entertainment,1.0
UC4oxmVhnA9T4_fndEgbwf5Q,Comedy,0.04019278278456228
UC4oxmVhnA9T4_fndEgbwf5Q,Entertainment,0.929378832238679
UC4oxmVhnA9T4_fndEgbwf5Q,People & Blogs,0.030428384976758666
UC4qXyMvDs6OnNEnjQtinZJA,People & Blogs,1.0
UC50xJyLnTsfdsONU4W8sQEA,People & Blogs,1.0
UC547TD5glwwrwwBq65oSQ_w,Entertainment,1.0
UC55y8UaV5E_jClKC5i2Fq4A,People & Blogs,1.0
UC5FzKN5Jk9-Pr-JgxMwJ1Lw,Howto & Style,1.0
UC5LgUxQEIwdWZGRGaWxAGvg,Entertainment,1.0
UC5Tshe16chO2lWqhXXCVG7Q,Comedy,0.10180641975835343
UC5Tshe16chO2lWqhXXCVG7Q,Entertainment,0.10625525606368144
UC5Tshe16chO2lWqhXXCVG7Q,Howto & Style,0.0015785537546064723
UC5Tshe16chO2lWqhXXCVG7Q,Nonprofits & Activism,0.022635041300584278
UC5Tshe16chO2lWqhXXCVG7Q,People & Blogs,0.7677247291227743
UC5cZKUTw4N9AhGEax-8MS4g,Entertainment,1.0
UC5kIvEWLPpW7LJS5zKxCZSg,People & Blogs,1.0
UC5qkJxnFkk9wQNT0CF8gFnA,People & Blogs,1.0
UC5qlD3EwEF8lOBcxyfE79HQ,People & Blogs,1.0
UC5tXh8FbfMa6aEMbTLNMSaQ,Howto & Style,1.0
UC5x741O_kvdCo7TQqe5Wswg,Autos & Vehicles,0.004158614624917248
UC5x741O_kvdCo7TQqe5Wswg,Entertainment,0.18985720258620262
UC5x741O_kvdCo7TQqe5Wswg,People & Blogs,0.8059841827888802
UC6CsuOM1Fq8-_U4duDcxQCw,People & Blogs,1.0
UC6UE76f_5vLKWAzM3M8DyKQ,People & Blogs,1.0
UC6kQSJ-9-XyJtYylJGMX3lw,Entertainment,1.0
UC6v9KHcIMdPyWlzpf3U5qaA,Entertainment,0.08225805151181367
UC6v9KHcIMdPyWlzpf3U5qaA,Howto & Style,0.009092527264247368
UC6v9KHcIMdPyWlzpf3U5qaA,People & Blogs,0.908649421223939
UC6vHUVCAJkZkR7PO-wVivGQ,Howto & Style,1.0
UC6xNCDbEXyEdgDxW2RTFLDg,People & Blogs,1.0
UC76CNzctOjXo41ibz-OHOMA,Entertainment,1.0
UC7NngaoI5wL9U0l86UGu0hw,Howto & Style,1.0
UC7P9XstKaBHGAPzLDIhewQw,Entertainment,1.0
UC7Q7pl0z0MrdayvmAnchlJQ,Comedy,0.0231180371467457
UC7Q7pl0z0MrdayvmAnchlJQ,Entertainment,0.010756280833094012
UC7Q7pl0z0MrdayvmAnchlJQ,Gaming,0.88391194315187
UC7Q7pl0z0MrdayvmAnchlJQ,People & Blogs,0.0808888623819588
UC7Q7pl0z0MrdayvmAnchlJQ,Science & Technology,0.0013248764863314267
UC7SDODnNGaMjzKmdmmiQbwQ,People & Blogs,1.0
UC7SQuwlq00AgBVezoOOKGEg,Entertainment,1.0
UC7bqqJYwwQgfqQtJy-Y38og,People & Blogs,1.0
UC7yjVg3qN68nNOvYVpZ5gsA,People & Blogs,0.39559439641065136
UC7yjVg3qN68nNOvYVpZ5gsA,Travel & Events,0.6044056035893486
UC84LRqpMWzqkCM3GTkFwwuQ,People & Blogs,1.0
