Product_ID,Date,restocking_events
1004746,2021-11-16,1
1004746,2021-11-18,1
1004746,2021-11-20,1
1004746,2021-11-27,1
1055654,2021-11-14,1
1055654,2021-11-15,1
1055654,2021-11-16,1
1055654,2021-11-18,1
1055654,2021-11-20,1
1055655,2021-11-14,1
1055655,2021-11-16,1
1055655,2021-11-18,1
1055655,2021-11-20,1
1055655,2021-11-22,1
1055656,2021-11-16,1
1055656,2021-11-18,1
1055656,2021-11-20,1
1055656,2021-11-22,1
1055657,2021-11-15,2
1055657,2021-11-18,1
1055657,2021-11-20,1
1055657,2021-11-22,1
1055657,2021-11-26,1
1055658,2021-11-14,1
1055658,2021-11-16,1
1055658,2021-11-18,1
1055658,2021-11-20,1
1055658,2021-11-22,1
1055659,2021-11-14,1
1055659,2021-11-16,1
1055659,2021-11-18,1
1055659,2021-11-20,1
1055659,2021-11-22,1
1055659,2021-11-29,1
1055660,2021-11-15,1
1055660,2021-11-16,1
1055660,2021-11-18,1
1055660,2021-11-20,1
1055660,2021-11-22,1
1055661,2021-11-14,1
1055661,2021-11-16,1
1055661,2021-11-18,1
1055661,2021-11-20,1
1055661,2021-11-22,1
1069234,2021-11-21,1
1069234,2021-11-26,1
1069234,2021-11-30,1
1069725,2021-11-14,1
1069725,2021-11-16,1
1069725,2021-11-20,1
1069725,2021-11-24,1
1069725,2021-11-28,1
1099042,2021-11-15,1
1099043,2021-11-22,1
1099043,2021-11-29,1
1109635,2021-11-14,2
1109635,2021-11-16,1
1109635,2021-11-18,1
1109635,2021-11-20,1
1109635,2021-11-22,1
1109635,2021-11-29,1
1109636,2021-11-15,1
1109636,2021-11-18,1
1109636,2021-11-19,1
1109636,2021-11-26,1
1109636,2021-11-28,2
1109637,2021-11-14,1
1109637,2021-11-16,1
1109637,2021-11-18,1
1109637,2021-11-20,1
1109637,2021-11-22,1
1123476,2021-11-16,1
1123476,2021-11-18,1
1123476,2021-11-20,1
1123476,2021-11-25,1
1123476,2021-11-29,1
112714,2021-11-15,1
112714,2021-11-16,1
112714,2021-11-18,1
112714,2021-11-20,1
112714,2021-11-22,1
112715,2021-11-14,2
112715,2021-11-16,1
112715,2021-11-18,1
112715,2021-11-20,1
112715,2021-11-22,1
112716,2021-11-16,1
112716,2021-11-18,1
112716,2021-11-20,1
112716,2021-11-27,1
112716,2021-11-30,1
112718,2021-11-15,1
112718,2021-11-16,2
112718,2021-11-18,1
112718,2021-11-20,1
112718,2021-11-22,1
112718,2021-11-24,1
112718,2021-11-28,2
112718,2021-11-30,1
112719,2021-11-14,1
112719,2021-11-16,1
112719,2021-11-18,1
112719,2021-11-20,1
112720,2021-11-16,1
112720,2021-11-18,1
112720,2021-11-20,1
112720,2021-11-27,2
112720,2021-11-30,1
1160964,2021-11-14,1
1160964,2021-11-16,1
1160964,2021-11-18,1
1160964,2021-11-20,1
1160964,2021-11-22,1
1160964,2021-11-30,1
1168000,2021-11-15,2
1168000,2021-11-16,1
1168000,2021-11-18,1
1168000,2021-11-20,1
1168000,2021-11-22,1
1168000,2021-11-26,1
1168000,2021-11-28,1
1211762,2021-11-15,1
1211762,2021-11-16,1
1211762,2021-11-18,1
1211762,2021-11-20,1
1211762,2021-11-22,1
1211763,2021-11-14,1
1211763,2021-11-16,1
1211763,2021-11-18,1
1211763,2021-11-20,1
1211763,2021-11-28,1
1211764,2021-11-14,1
1211764,2021-11-16,1
1211764,2021-11-18,1
1211764,2021-11-20,1
1211764,2021-11-22,1
1211764,2021-11-30,1
1211766,2021-11-15,1
1211766,2021-11-16,1
1211766,2021-11-18,1
1211766,2021-11-20,1
1211766,2021-11-25,1
1211766,2021-11-28,1
1314313,2021-11-14,1
1314313,2021-11-16,1
1314313,2021-11-17,2
1314313,2021-11-18,1
1314313,2021-11-19,1
1314313,2021-11-21,1
1314313,2021-11-22,1
1314313,2021-11-28,1
1314314,2021-11-15,1
1314314,2021-11-16,1
1314314,2021-11-18,1
1314314,2021-11-20,1
1314314,2021-11-22,1
1330756,2021-11-16,1
1330756,2021-11-18,1
1330756,2021-11-20,1
1330756,2021-11-28,1
1330757,2021-11-15,1
1330757,2021-11-16,1
1330757,2021-11-18,1
1330757,2021-11-20,1
1330757,2021-11-22,1
1330757,2021-11-28,1
1330758,2021-11-15,1
1330758,2021-11-16,1
1330758,2021-11-18,1
1330758,2021-11-20,1
1330758,2021-11-28,1
1342897,2021-11-15,1
1342897,2021-11-16,1
1342897,2021-11-18,1
1342897,2021-11-20,1
1342897,2021-11-22,2
1342897,2021-11-29,1
1423022,2021-11-18,1
1423022,2021-11-25,1
1423022,2021-11-27,1
1423023,2021-11-15,1
1423023,2021-11-16,1
1423023,2021-11-18,1
1423023,2021-11-19,1
1423023,2021-11-22,1
1423023,2021-11-24,1
1423023,2021-11-26,1
1423023,2021-11-28,1
1423023,2021-11-29,1
1423023,2021-11-30,1
1423024,2021-11-14,1
1423024,2021-11-15,1
1423024,2021-11-16,1
1423024,2021-11-18,1
1423024,2021-11-19,1
1423024,2021-11-24,2
1423024,2021-11-28,2
1428260,2021-11-19,1
1428260,2021-11-22,1
1428260,2021-11-23,1
1428260,2021-11-26,1
1428260,2021-11-30,1
1428261,2021-11-14,1
1428261,2021-11-16,1
1428261,2021-11-18,1
1428261,2021-11-20,1
1428261,2021-11-22,1
1428261,2021-11-28,1
1428262,2021-11-14,1
1428262,2021-11-16,1
1428262,2021-11-18,1
1428262,2021-11-20,1
1428262,2021-11-22,1
1428263,2021-11-18,1
1428264,2021-11-14,1
1428264,2021-11-16,1
1428264,2021-11-17,1
1428264,2021-11-18,1
1428264,2021-11-29,1
1428264,2021-11-30,1
1429144,2021-11-13,1
1429144,2021-11-18,1
1429144,2021-11-26,1
1429144,2021-11-28,1
1429144,2021-11-29,1
1429151,2021-11-14,1
1429151,2021-11-15,1
1429151,2021-11-18,1
1429151,2021-11-23,1
1429152,2021-11-16,1
1429152,2021-11-20,1
1429152,2021-11-23,1
1429152,2021-11-26,1
1429152,2021-11-30,1
1485674,2021-11-30,1
1489179,2021-11-14,1
1489179,2021-11-15,1
1489179,2021-11-16,1
1489179,2021-11-18,1
1489179,2021-11-20,1
1489179,2021-11-22,1
1489179,2021-11-28,1
1489179,2021-11-29,1
1489180,2021-11-14,1
1489180,2021-11-16,1
1489180,2021-11-18,1
1489180,2021-11-20,1
1489180,2021-11-22,1
1489180,2021-11-25,1
1489180,2021-11-28,1
1489180,2021-11-29,1
1489194,2021-11-15,2
1489194,2021-11-18,1
1489194,2021-11-20,1
1489194,2021-11-22,1
1489194,2021-11-26,1
1489194,2021-11-29,1
1489195,2021-11-14,1
1489195,2021-11-16,1
1489195,2021-11-30,1
152335,2021-11-15,1
152335,2021-11-16,1
152335,2021-11-18,1
152335,2021-11-20,1
152335,2021-11-22,1
152336,2021-11-16,1
152336,2021-11-18,1
152336,2021-11-20,1
152336,2021-11-26,1
152336,2021-11-27,1
152336,2021-11-28,1
152336,2021-11-30,1
152337,2021-11-14,1
152337,2021-11-16,1
152337,2021-11-18,1
152337,2021-11-20,1
152339,2021-11-14,1
152339,2021-11-16,1
152339,2021-11-18,1
152339,2021-11-20,1
152339,2021-11-22,1
152339,2021-11-30,1
218611,2021-11-13,1
219073,2021-11-25,1
241176,2021-11-13,1
241176,2021-11-14,1
241176,2021-11-16,1
241176,2021-11-18,2
241176,2021-11-20,1
241176,2021-11-27,1
263009,2021-11-14,1
263009,2021-11-16,1
263009,2021-11-18,1
263009,2021-11-19,1
263009,2021-11-20,1
263009,2021-11-25,1
263009,2021-11-27,1
263009,2021-11-29,1
2645486,2021-11-15,1
2645486,2021-11-16,1
2645486,2021-11-19,1
2645487,2021-11-15,1
2645487,2021-11-18,1
2645487,2021-11-20,1
2645487,2021-11-24,1
2645487,2021-11-27,2
2645487,2021-11-28,1
2645487,2021-11-29,2
2645487,2021-11-30,1
2645546,2021-11-14,1
2645546,2021-11-25,1
2645547,2021-11-14,1
2645547,2021-11-21,1
2645547,2021-11-23,1
2679195,2021-11-18,1
2679196,2021-11-20,1
2679196,2021-11-25,1
2679198,2021-11-16,1
2679198,2021-11-19,1
2679198,2021-11-20,1
2679198,2021-11-24,1
2679198,2021-11-30,1
2679199,2021-11-13,1
2679200,2021-11-20,1
2679201,2021-11-16,1
2679201,2021-11-30,1
2679202,2021-11-18,1
2679202,2021-11-23,2
2679202,2021-11-26,1
2679216,2021-11-14,2
2679216,2021-11-16,1
2679216,2021-11-18,1
2679216,2021-11-19,1
2679216,2021-11-22,1
2679216,2021-11-24,1
2679216,2021-11-28,1
2679216,2021-11-29,1
2679217,2021-11-15,1
2679217,2021-11-20,1
2679217,2021-11-22,1
2679217,2021-11-23,1
2679217,2021-11-25,1
2679217,2021-11-29,1
2679218,2021-11-15,1
2679218,2021-11-16,1
2679218,2021-11-18,1
2679218,2021-11-20,1
2679218,2021-11-22,1
2679218,2021-11-28,1
2679218,2021-11-29,1
2679218,2021-11-30,1
2692966,2021-11-16,1
2692966,2021-11-20,1
2692966,2021-11-29,1
2737965,2021-11-15,2
2737965,2021-11-18,1
2737965,2021-11-19,1
2737965,2021-11-22,1
2737965,2021-11-24,1
2737965,2021-11-25,1
2737965,2021-11-28,3
2737965,2021-11-29,1
2737965,2021-11-30,2
2737966,2021-11-13,1
2737966,2021-11-14,1
2737966,2021-11-17,2
2737966,2021-11-18,1
2737966,2021-11-20,1
2737966,2021-11-21,1
2737966,2021-11-25,1
2737966,2021-11-28,2
2737966,2021-11-29,3
2737967,2021-11-16,1
2737967,2021-11-19,1
2737967,2021-11-20,1
2737968,2021-11-19,1
2737968,2021-11-20,1
2737969,2021-11-19,1
2737969,2021-11-20,1
2737969,2021-11-25,1
2737969,2021-11-26,1
2737969,2021-11-30,1
2737970,2021-11-14,1
2737970,2021-11-15,3
2737970,2021-11-17,1
2737970,2021-11-18,2
2737970,2021-11-25,1
2737970,2021-11-27,1
2737970,2021-11-28,1
2737970,2021-11-29,1
2737970,2021-11-30,1
2756894,2021-11-13,2
2756894,2021-11-17,1
2756894,2021-11-18,1
2756894,2021-11-20,1
2756894,2021-11-26,1
2756894,2021-11-27,1
2756894,2021-11-28,1
2756894,2021-11-29,3
2756894,2021-11-30,2
2756895,2021-11-13,2
2756895,2021-11-15,1
2756895,2021-11-18,2
2756895,2021-11-19,1
2756895,2021-11-22,1
2756895,2021-11-25,1
2756895,2021-11-26,1
2756895,2021-11-27,1
2756895,2021-11-28,2
2756895,2021-11-29,2
2756895,2021-11-30,1
2771789,2021-11-13,1
2771789,2021-11-14,1
2771789,2021-11-18,1
2771789,2021-11-23,1
2771789,2021-11-24,1
2771789,2021-11-26,2
2771789,2021-11-28,1
2771789,2021-11-29,1
2771790,2021-11-13,2
2771790,2021-11-14,1
2771790,2021-11-16,1
2771790,2021-11-18,1
2771790,2021-11-20,1
2771790,2021-11-22,1
2771790,2021-11-24,1
2771790,2021-11-28,1
2771790,2021-11-29,1
2800703,2021-11-13,1
2800703,2021-11-14,1
2800703,2021-11-15,2
2800703,2021-11-18,1
2800703,2021-11-19,1
2800703,2021-11-28,1
2800703,2021-11-30,1
2800704,2021-11-15,1
2800704,2021-11-17,1
2800704,2021-11-18,1
2800704,2021-11-19,1
2800704,2021-11-30,1
284963,2021-11-15,1
284963,2021-11-16,1
284963,2021-11-18,1
284963,2021-11-20,1
284963,2021-11-22,1
284963,2021-11-29,1
284964,2021-11-15,1
284964,2021-11-16,1
284964,2021-11-18,1
284964,2021-11-20,1
284964,2021-11-22,1
284964,2021-11-26,1
284964,2021-11-29,1
284964,2021-11-30,1
284965,2021-11-15,1
284965,2021-11-16,1
284965,2021-11-18,1
284965,2021-11-20,1
284965,2021-11-26,1
284965,2021-11-27,1
290032,2021-11-14,1
290032,2021-11-15,1
290032,2021-11-16,2
290032,2021-11-18,2
290032,2021-11-19,1
290032,2021-11-22,1
290032,2021-11-24,1
290032,2021-11-26,1
290032,2021-11-28,2
290033,2021-11-14,1
290033,2021-11-16,1
290033,2021-11-18,1
290033,2021-11-19,1
290033,2021-11-27,1
290034,2021-11-14,2
290034,2021-11-15,1
290034,2021-11-18,1
290034,2021-11-20,1
290034,2021-11-22,1
290034,2021-11-26,1
290035,2021-11-15,1
290035,2021-11-16,1
290035,2021-11-18,1
290035,2021-11-20,1
290035,2021-11-22,1
290036,2021-11-15,1
290036,2021-11-16,1
290036,2021-11-18,1
290036,2021-11-20,1
290036,2021-11-22,1
290036,2021-11-24,1
290036,2021-11-28,2
304222,2021-11-14,1
304222,2021-11-16,1
304222,2021-11-18,1
304222,2021-11-20,1
304222,2021-11-22,1
304222,2021-11-28,1
304223,2021-11-16,1
304223,2021-11-18,1
304223,2021-11-20,1
304223,2021-11-22,1
304223,2021-11-29,1
315833,2021-11-16,1
315833,2021-11-18,1
315833,2021-11-20,1
315833,2021-11-22,1
315833,2021-11-25,1
315833,2021-11-29,1
338260,2021-11-15,1
338260,2021-11-18,1
338260,2021-11-19,1
338260,2021-11-22,1
338260,2021-11-24,1
338260,2021-11-29,1
338261,2021-11-14,1
338261,2021-11-16,1
338261,2021-11-18,1
338261,2021-11-20,1
338261,2021-11-22,1
338262,2021-11-14,1
338262,2021-11-22,1
338262,2021-11-24,1
338262,2021-11-29,1
342453,2021-11-16,1
342453,2021-11-18,1
342453,2021-11-20,1
342453,2021-11-23,1
342453,2021-11-28,2
3434650,2021-11-16,1
3434650,2021-11-18,1
3434650,2021-11-19,1
3434650,2021-11-21,1
3434650,2021-11-27,1
3434650,2021-11-28,1
3434650,2021-11-29,1
3434650,2021-11-30,1
3434651,2021-11-15,1
3434651,2021-11-18,1
3536437,2021-11-16,1
3536437,2021-11-17,1
3536437,2021-11-19,1
3536437,2021-11-25,1
3536437,2021-11-28,1
3536438,2021-11-16,1
3536438,2021-11-18,1
3536438,2021-11-19,1
3536438,2021-11-20,1
3536438,2021-11-29,1
3536439,2021-11-16,1
3536439,2021-11-18,1
3536439,2021-11-19,1
